,assays,leiden,topics,keep
parse_hipp_12_Topic11_R35,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic12_R35,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic1_R36,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic2_R36,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic3_R36,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic4_R36,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic5_R36,parse_hipp_12,13,Topic_14,True
parse_hipp_12_Topic6_R36,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic7_R36,parse_hipp_12,9,Topic_10,True
parse_hipp_12_Topic8_R36,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic9_R36,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic10_R36,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic11_R36,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic12_R36,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic1_R37,parse_hipp_12,14,Topic_15,True
parse_hipp_12_Topic2_R37,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic3_R37,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic4_R37,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic5_R37,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic6_R37,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic7_R37,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic8_R37,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic9_R37,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic10_R37,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic11_R37,parse_hipp_12,13,Topic_14,True
parse_hipp_12_Topic12_R37,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic1_R38,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic2_R38,parse_hipp_12,12,Topic_13,True
parse_hipp_12_Topic3_R38,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic4_R38,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic5_R38,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic6_R38,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic7_R38,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic8_R38,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic9_R38,parse_hipp_12,9,Topic_10,True
parse_hipp_12_Topic10_R38,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic11_R38,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic12_R38,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic1_R39,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic2_R39,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic3_R39,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic4_R39,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic5_R39,parse_hipp_12,9,Topic_10,True
parse_hipp_12_Topic6_R39,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic7_R39,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic8_R39,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic9_R39,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic10_R39,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic11_R39,parse_hipp_12,13,Topic_14,True
parse_hipp_12_Topic12_R39,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic1_R40,parse_hipp_12,10,Topic_11,True
parse_hipp_12_Topic2_R40,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic3_R40,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic4_R40,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic5_R40,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic6_R40,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic7_R40,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic8_R40,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic9_R40,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic10_R40,parse_hipp_12,13,Topic_14,True
parse_hipp_12_Topic11_R40,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic12_R40,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic1_R41,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic2_R41,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic3_R41,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic4_R41,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic5_R41,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic6_R41,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic7_R41,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic8_R41,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic9_R41,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic10_R41,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic11_R41,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic12_R41,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic1_R42,parse_hipp_12,10,Topic_11,True
parse_hipp_12_Topic2_R42,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic3_R42,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic4_R42,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic5_R42,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic6_R42,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic7_R42,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic8_R42,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic9_R42,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic10_R42,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic11_R42,parse_hipp_12,9,Topic_10,True
parse_hipp_12_Topic12_R42,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic1_R43,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic2_R43,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic3_R43,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic4_R43,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic5_R43,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic6_R43,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic7_R43,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic8_R43,parse_hipp_12,12,Topic_13,True
parse_hipp_12_Topic9_R43,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic10_R43,parse_hipp_12,10,Topic_11,True
parse_hipp_12_Topic11_R43,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic12_R43,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic1_R44,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic2_R44,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic3_R44,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic4_R44,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic5_R44,parse_hipp_12,9,Topic_10,True
parse_hipp_12_Topic6_R44,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic7_R44,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic8_R44,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic9_R44,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic10_R44,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic11_R44,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic12_R44,parse_hipp_12,10,Topic_11,True
parse_hipp_12_Topic1_R45,parse_hipp_12,2,Topic_3,True
