orig.ident	nCount_RNA	nFeature_RNA	gender	tissue	mouse	genotype	age	exp	age_gen	percent.mt	RNA_snn_res.1	seurat_clusters	State	cellType
3xC013	607	311	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.164744645799012	8	8	6	microglia
3xC013	2878	1392	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.24322446143155	2	2	2	microglia
3xC013	1105	576	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.35746606334842	4	4	2	microglia
3xC013	619	360	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.323101777059774	18	18	0	astrocyte
3xC013	851	451	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.470035252643948	12	12	9	microglia
3xC013	629	310	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.90779014308426	18	18	0	astrocyte
3xC013	2002	884	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.2987012987013	9	9	2	microglia
3xC013	726	358	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.413223140495868	7	7	8	microglia
3xC013	2313	1006	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.0864677907479464	5	5	2	microglia
3xC013	638	312	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.626959247648903	18	18	0	astrocyte
3xC013	751	330	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.798934753661784	1	1	8	microglia
3xC013	926	452	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.07991360691145	3	3	9	microglia
3xC013	812	361	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.862068965517241	6	6	6	microglia
3xC013	2014	848	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.0496524329692155	9	9	2	microglia
3xC013	576	319	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0	7	7	8	microglia
3xC013	635	311	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.88976377952756	8	8	7	microglia
3xC013	828	387	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.483091787439614	1	1	5	microglia
3xC013	558	307	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	2.32974910394265	7	7	8	microglia
3xC013	786	417	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.14503816793893	7	7	8	microglia
3xC013	2879	1259	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.451545675581799	2	2	9	microglia
3xC013	563	308	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.88809946714032	18	18	0	astrocyte
3xC013	1913	893	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0	5	5	1	microglia
3xC013	2129	1018	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.281822451855331	9	9	9	microglia
3xC013	1867	959	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.856989823245849	5	5	1	microglia
3xC013	550	316	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.363636363636364	7	7	8	microglia
3xC013	519	325	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	2.11946050096339	7	7	8	microglia
3xC013	595	329	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.504201680672269	18	18	0	astrocyte
3xC013	1767	761	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.282965478211658	4	4	2	microglia
3xC013	2009	944	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.199104031856645	9	9	9	microglia
3xC013	629	348	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.95389507154213	18	18	0	astrocyte
3xC013	1137	483	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.527704485488127	6	6	7	microglia
3xC013	489	304	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.43149284253579	7	7	8	microglia
3xC013	1728	829	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.694444444444444	9	9	9	microglia
3xC013	1666	825	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.540216086434574	9	9	2	microglia
3xC013	2171	993	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.0921234454168586	9	9	2	microglia
3xC013	520	308	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.961538461538462	7	7	8	microglia
3xC013	590	326	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.677966101694915	7	7	8	microglia
3xC013	704	350	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.426136363636364	18	18	0	astrocyte
3xC013	3782	1398	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.264410364886304	2	2	1	microglia
3xC013	3015	1177	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.59203980099502	2	2	2	microglia
3xC013	2807	1031	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.855005343783399	9	9	5	microglia
3xC013	598	340	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	2.0066889632107	8	8	8	microglia
3xC013	5607	2010	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.214018191546281	2	2	2	microglia
3xC013	613	321	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.978792822185971	8	8	8	microglia
3xC013	571	311	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	2.27670753064799	7	7	8	microglia
3xC013	2273	1068	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.967883853937528	2	2	9	microglia
3xC013	1602	745	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.0624219725343321	18	18	0	astrocyte
3xC013	556	312	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.07913669064748	18	18	0	astrocyte
3xC013	6786	2612	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0	18	18	0	astrocyte
3xC013	1223	479	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.817661488143908	6	6	6	microglia
3xC013	583	308	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.37221269296741	8	8	7	microglia
3xC013	954	449	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	2.41090146750524	18	18	0	astrocyte
3xC013	3970	1605	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.780856423173804	2	2	2	microglia
3xC013	539	306	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.66975881261596	1	1	8	microglia
3xC013	4081	1434	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.245037980887038	2	2	2	microglia
3xC013	3555	1314	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.281293952180028	2	2	9	microglia
